fold_type,side,format,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck glänzend,20000,254.12,1905.9,1.6,3049,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,50,26.55,199.125,1.6,319,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,100,28.68,215.1,1.6,344,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,250,31.65,237.375,1.6,380,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,500,33.03,247.725,1.6,396,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,750,35.04,262.8,1.6,420,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,1000,37.04,277.8,1.6,444,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,1500,42.88,321.6,1.6,515,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,2000,47.05,352.875,1.6,565,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,2500,50.11,375.825,1.6,601,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,3000,55.64,417.3,1.6,668,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,4000,65.2,489,1.6,782,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,5000,76.1,570.75,1.6,913,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,6000,89.94,674.55,1.6,1079,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,7000,103.19,773.925,1.6,1238,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,8000,116.29,872.175,1.6,1395,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,9000,130.52,978.9,1.6,1566,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,10000,143.82,1078.65,1.6,1726,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,12500,172.77,1295.775,1.6,2073,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,15000,200.78,1505.85,1.6,2409,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,115g hochwertiger Qualitätsdruck matt,20000,254.54,1909.05,1.6,3054,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,50,26.55,199.125,1.6,319,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,100,30.37,227.775,1.6,364,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,250,32.2,241.5,1.6,386,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,500,33.78,253.35,1.6,405,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,750,34.32,257.4,1.6,412,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,1000,34.85,261.375,1.6,418,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,1500,48.52,363.9,1.6,582,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,2000,52.83,396.225,1.6,634,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,2500,56.43,423.225,1.6,677,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,3000,62.36,467.7,1.6,748,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,4000,74.26,556.95,1.6,891,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,5000,85.68,642.6,1.6,1028,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,6000,101.12,758.4,1.6,1213,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,7000,117.48,881.1,1.6,1410,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,8000,132.34,992.55,1.6,1588,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,9000,148.02,1110.15,1.6,1776,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,10000,162.81,1221.075,1.6,1954,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,12500,197.55,1481.625,1.6,2371,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,15000,227.92,1709.4,1.6,2735,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,20000,291.25,2184.375,1.5,3277,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,50,28.54,214.05,1.6,342,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,100,32.87,246.525,1.6,394,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,250,34.77,260.775,1.6,417,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,500,36.78,275.85,1.6,441,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,750,37.05,277.875,1.6,445,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,1000,37.32,279.9,1.6,448,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,1500,53.86,403.95,1.6,646,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,2000,59.62,447.15,1.6,715,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,2500,62.43,468.225,1.6,749,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,3000,71.14,533.55,1.6,854,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,4000,86.93,651.975,1.6,1043,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,5000,103.15,773.625,1.6,1238,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,6000,121.7,912.75,1.6,1460,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,7000,139.78,1048.35,1.6,1677,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,8000,158.98,1192.35,1.6,1908,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,9000,177.3,1329.75,1.6,2128,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,10000,195.73,1467.975,1.6,2349,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,12500,236.03,1770.225,1.6,2832,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,15000,276.21,2071.575,1.5,3107,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,170g hochwertiger Qualitätsdruck glänzend,20000,360.03,2700.225,1.5,4050,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,50,10.08,75.6,1.6,121,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,100,15.13,113.475,1.6,182,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,250,38.14,286.05,1.6,458,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,500,38.7,290.25,1.6,464,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,750,38.94,292.05,1.6,467,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,1000,40.62,304.65,1.6,487,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,1500,61.08,458.1,1.6,733,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,2000,69.12,518.4,1.6,829,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,2500,71.71,537.825,1.6,861,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,3000,82.13,615.975,1.6,986,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,4000,104.23,781.725,1.6,1251,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,5000,126.49,948.675,1.6,1518,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,6000,149.92,1124.4,1.6,1799,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,7000,173.76,1303.2,1.6,2085,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,8000,197.3,1479.75,1.6,2368,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,9000,220.02,1650.15,1.6,2640,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,10000,243.65,1827.375,1.6,2924,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,12500,296.22,2221.65,1.5,3332,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,15000,347.9,2609.25,1.5,3914,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck glänzend,20000,450.96,3382.2,1.5,5073,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck matt,50,10.15,76.125,1.6,122,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck matt,100,15.18,113.85,1.6,182,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck matt,250,38.14,286.05,1.6,458,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck matt,500,38.71,290.325,1.6,465,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,250g hochwertiger Qualitätsdruck matt,750,39.58,296.85,1.6,475,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
